REUBEN COLBURN	PERSON	Head Quarters at
Batteau	PERSON	.
Kennebeck	PERSON	, and a Commissary will be immediately sent from the
Batteau	PERSON	, with the Oars , Paddles , and Setting poles included , out of which you are also to pay The Artificers and for all the Provisions , Nails & ca .
John C. Fitzpatrick	PERSON	, ed. , The Writings of
George Washington	PERSON	-LRB-
Fitzpatrick	PERSON	, ed. , Writings of
SIMEON POTTER	PERSON	TO LIEUTENANT COLONEL
WILLIAM TURNER MILLER	PERSON	-LSB- Extract -RSB- Bristol Septr 3th 1775 But what figuer would Our Government made had it not been for me who was the Sole progeter in the Scheem in Procuering the Powder , and what Thanks have I had for atvancing 1000 Dollers to purches it at a time When thear was not a Doller in the tresurea nether Culd the tresurey hyer it upon aney termes & I atvanced it in Johaneses by which the Goverme -LSB- nt -RSB-
Cornel	PERSON	of Powder now if it hadent been for me and what thanks do you think I have had -LSB- f -RSB- or all this , Why truley for asken for the Same Sort of money as I atvanced I am Culd a Torey , and refused aney other pay but paper , I have been against the Pasin Sum Extra vent Acct & Bilding Men of war -LRB- at
Multen	PERSON	the Goverment in pasen Extravent Accts because thay may git thear one -LSB- own -RSB- past in the Same way , And by
Esuean	PERSON	fluds of paper
Currence	PERSON	to pay off the
Maney	PERSON	gos upon But I Sea non that Dus busines for this Goverment But try to git as much as thay Can , 1 .
JONATHAN TRUMBULL	PERSON	TO
MATTHEW GRISWOLD	PERSON	Sir
Mervin	PERSON	, observe the Contents , have ordered a Meeting of my
Jonathan -RSB- Latimer	PERSON	at
Jon	PERSON	th Trumbull The Honble
Matthew Griswold	PERSON	, or in his Absence , to The Gentlemen of the
Trumbull	PERSON	was Governor of
Shott	PERSON	and hauld the Sloop off to an Anchor , Empd Starting our water and Sending the Casks on Shore , Came Down and anchored here His Majts Sloop Otter 1 .
MATTHEW	PERSON	SQUIRE Septemr 1775 Sunday 3
Bower	PERSON	and new moored the Ship .
William	PERSON	in order to protect and assist her .
William	PERSON	moored a Cables length below her , we about half a Cables length above her .
Jonathan Belcher	PERSON	,
Richard Bulkeley	PERSON	,
Henry Newton	PERSON	,
John Butler	PERSON	,
James Burrow	PERSON	, Counsellors The Governor laid before The
Joseph -RSB- Winniett	PERSON	& Mr -LSB-
Thomas	PERSON	-RSB- Williams Magistrates at
David Ross	PERSON	one of the Navigators , both of whom had been on board the
Resolv	PERSON	'd , that application be made to Capn -LSB-
Edward -RSB- Le Cras Commander of His Majesty	PERSON	's Ships in this
Harbour	PERSON	that he wou 'd Order His Majesty 's Ship Tartar to proceed as soon as may be to
Francis Legge Esqr	PERSON	Captain General & Governor in Chief in & over His Majesty 's Province of
Rebells	PERSON	from
LEGGE	PERSON	1 .
N.S. Hereafter	PERSON	cited as
N.S. Arch	PERSON	.
RICHARD BULKELEY	PERSON	TO
JOSEPH WINNIETT	PERSON	AND
THOMAS WILLIAMS	PERSON	-LSB- Extract -RSB-
Harbour	PERSON	, that His Majestys Ship the Tartar may be directed to proceed as soon as may be to
Bulkeley	PERSON	.
N.S. Arch	PERSON	.
Bulkeley	PERSON	was secretary of the
Winniett	PERSON	and
Williams	PERSON	were residents of
FRANCIS LEGGE	PERSON	TO GENERAL THOMAS GAGE Sir .
Legge	PERSON	.
N.S. Arch	PERSON	.
Legge	PERSON	was
Rose Man	PERSON	of War , with three Tenders , was observed chasing several small Vessels into the Harbour of
New-London	PERSON	.
Henry -RSB- Mowat Commander of the Canceaux	PERSON	, whom the Admiral designed for the Command of the Expedition .
Le Cras	PERSON	, by the Way of
Samuel Graves	PERSON	in
Graves	PERSON	's Conduct , BM .
Gage	PERSON	to Graves , September 4 .
THOMAS GAGE	PERSON	TO VICE ADMIRAL SAMUEL GRAVES -LRB- Copy -RRB-
Gage	PERSON	was Royal Governor of
SAMUEL	PERSON	GRAVES TO
FRANCIS LEGGE	PERSON	Sir ,
Franklyn	PERSON	's and Mr
Dechamps	PERSON	inclosed .
Edward -RSB- Medows	PERSON	acted very right in not leaving
Duddingstone	PERSON	.
Bason	PERSON	of
Le Cras	PERSON	of his Majs Ship Somerset , who is gone to
Merlin	PERSON	with Convoy to the
Scarborough	PERSON	as I at first intended .
Thomas -RSB- Gage	PERSON	, that a good Body of Militia will be found whose fidelity can be depended on .
Sam	PERSON	l Graves 1 .
SAMUEL	PERSON	GRAVES TO REAR ADMIRAL ROBERT DUFF Sir
Preston Boston	PERSON	4 Sepr 1775 Your known Zeal for his Majesty 's Service encourages me to make known to you the Condition of the
Le Cras	PERSON	to send it by the first Sloop or Schooner that could be got ready at
Sam	PERSON	l Graves 1 .
Duff	PERSON	was Commander-in-Chief on the
SAMUEL	PERSON	GRAVES TO CAPTAIN
EDWARD LE CRAS	PERSON	,
Preston	PERSON	at
Duff	PERSON	at
Hinchinbrook	PERSON	goes put the Savage 's Guns into her and let that Sloop take the four
Pounders	PERSON	, if you think them too heavy for the Schooner .
Jeremiah -RSB- OBrien	PERSON	at
Savage	PERSON	and
Cruizer	PERSON	under your Command , and I am satisfied you will give the utmost Dispatch to the Ships fitting out , and not suffer any of them to lie unnecessarily in
Sam	PERSON	l Graves 1 .
SAMUEL	PERSON	GRAVES TO LIEUTENANT
WILLIAM HUNTER	PERSON	, H.M. BRIG GASPEE Whereas it appears to me from your Letter August 6 , 1775 , that in pursuance of a requisition from General -LSB- Guy -RSB-
Carleton	PERSON	for that purpose , you have proceeded to
Carleton	PERSON	, or the Commanding Officer at
Sam	PERSON	l Graves 1 .
JAMES WALLACE	PERSON	Septr 1775 Monday 4 Moor 'd in
Samuel Perkins	PERSON	, master , from
-LSB- Jonathan -RSB- Lattimer	PERSON	, that one of the vessels lately taken by
Cap	PERSON	.
Wallace	PERSON	of the Rose man-of-war & c. at
Cook	PERSON	of
Wallace	PERSON	, and that the other belonged to one Cap .
Collins	PERSON	.
Cap	PERSON	.
Robert -RSB- Niles	PERSON	at
Cook	PERSON	of the matter , that they may , on proper notice , be returned to their owners .
Charles J. Hoadly	PERSON	, ed. ,
Hoadly	PERSON	, ed. ,
MORGAN LEWIS	PERSON	TO MAJOR
SAMUEL BLACHLEY WEBB	PERSON	-LSB- Extract -RSB-
George -RSB- Vandeput	PERSON	, has fired eight and twenty cannon , besides grape and cannister shot , into our
Vandeput	PERSON	, seeing us mounting some twelve pounders upon two sloops and manning them very strong , guessed at our Intentions and prudently hove out a signal for the Tender 's return , which to our great mortification she instantly obeyed .
Samuel Blachley Webb	PERSON	-LRB-
JOSEPH BELTON	PERSON	TO THE
Joseph Belton	PERSON	.
Samuel Hazard	PERSON	, et al .
Jonathan Hudson	PERSON	, representing , that a New Ship , which he had built at
Vessell	PERSON	being chartered by Mr
Kelly	PERSON	, and a
Vessell	PERSON	; He prayed for Indulgence to load the said Cargo after the 10th of Septemr , provided it could not be done sooner ー The
Hudson	PERSON	, and the Difficulty of his Case by the above Misfortune , agreed to grant the Prayer of his Memorial , And that the said
Memorialist	PERSON	should be allowed ten Working days to load the said Ship , after she shall be ready to recieve her Cargo onboard ー Two Memorials were then laid before the Committee by Mr
