		"< rdf : Description rdf : about = '' '' xmlns : xmp = `` http://ns.adobe.com/xap/1.0/"" xmlns : dc = `` http://purl.org/dc/elements/1.1/"" xmlns : xmpMM = `` http://ns.adobe.com/xap/1.0/mm/"" xmlns : pdf = `` http://ns.adobe.com/pdf/1.3/"" > 2017-12-09T20 : 48-05:00 2017-12-09T20:46:30 - 05:00 2017-12-09T20 : 48-05:00 Adobe Acrobat 7.0 xml Naval Documents of the American Revolution Volume 4 American Theater : Feb. 19 "	" 1776 -- Apr. 17 "	1776	" European Theater : Feb. 1 "	" 1776 -- May 25 "	1776	" American Theater : Apr. 18 "	" 1776 -- May 8 "	" 1776 uuid : f5dcb9cb-8bd2-4e20-ba68-e1c233b06c2d uuid : 9512c36a-bc28-4df9-bc3c-ed814f1bd1c0 Adobe Acrobat 7.0 Paper Capture Plug-in NAVAL DOCUMENTS OF The American Revolution NAVAL DOCUMENTS OF The American Revolution VOLUME 4 AMERICAN THEATRE : Feb. 19 "	" 1776-Apr ."													
																								
		17	" 1776 EUROPEAN THEATRE : Feb. 1 "	" 1776-May 25 "	" 1776 AMERICAN THEATRE Apr. 18 "	" 1776-May 8 "	1776																	
"WILLIAM BELL CLARK"	"PERSON"		" Editor For and in Collaboration with The"																					
"U.S. Navy Department With"	"ORGANIZATION"	"a Foreword by - SECRETARY OF THE"																						
"NAVY"	"ORGANIZATION"	"JOHN H. CHAFEE And an Introduction by REAR ADMIRAL"																						
"ERNEST"	"PERSON"	0																						
																								
		"`"																						
"MCNEILL ELLER"	"PERSON"																							
"U.S.N."	"LOCATION"	"-LRB- Ret . -RRB-"																						
																								
		"Director of Naval History"																						
"WASHINGTON"	"LOCATION"	": 1969 L.C.Card No. 64-60087 MARllvF rnR?S APR as 19 ' "	" ~ i REFEiGki "	0																				
																								
		"ui : si ~ ~ iaM For sale by the Superintendent of Documents "																						
"U.S. Government Printing Office Washington"	"ORGANIZATION"																							
"D.C."	"LOCATION"	"20402 - Price $ 14.25 NAVAL HISTORY DIVISION SENIOR EDITORIAL STAFF Rear Admiral"																						
"Ernest McNeiIl Eller"	"PERSON"																							
"U.S.N."	"LOCATION"	"-LRB- Ret . -RRB-"																						
																								
		"Rear Admiral"																						
"F. Kent Loomis"	"PERSON"																							
"U.S.N."	"LOCATION"	"-LRB- Ret . -RRB-"																						
																								
																								
"William James Morgan"	"PERSON"		" Ph.D. ."																					
																								
		"ILLUSTRATIONS AND CHARTS Commander"																						
"V. James Robison"	"PERSON"																							
"U.S.N.R."	"LOCATION"	0																						
																								
																								
"W. Bart Greenwood"	"PERSON"	"SECRETARY OF THE"																						
"NAVY"	"ORGANIZATION"	"'S ADVISORY COMMITTEE ON NAVAL HISTORY"																						
"Samuel Flagg Bemis"	"PERSON"	"-LRB- Emeritus -RRB- Elm &"																						
"L. Kayser James P. Baxter"	"PERSON"		" I11"																					
"John Haskell Kemble Francis L. Berkeley"	"PERSON"		" Jr. ."																					
																								
																								
"Leonard W. Labaree Julian P. Boyd Richard W. Leopold Marion V. Brewington Allan Nevins Jim Dan Hill Walter Muir Whitehill"	"PERSON"	"SPECIAL CONSULTANTS FOR"																						
"NAVAL"	"ORGANIZATION"	"DOCUMENTS OF THE AMERICAN REVOLUTION"																						
"L. H. Butterfield Oliver Wendell Holmes Howard H. Peckham"	"PERSON"	"I believe that the time is near when the Americans will be their own masters ."																						
																								
																								
"Caron"	"PERSON"	"de Beaumarchais 1776 Heaven seems now to ojer us the glorious privilege ... of being the Guardians of the Rights of Man - kind ... Major"																						
"Joseph Ward"	"PERSON"	"1776 THE SECRETARY OF THE"																						
"NAVY"	"ORGANIZATION"	"WASHINGTON March 3 "	" 1969 FOREWORD On 13 October 1775 the"																					
"Continental Congress"	"ORGANIZATION"	"authorized the first two ships of the"																						
"Navy"	"ORGANIZATION"	0																						
																								
		"From this small beginning we have seen the country 's"																						
"Navy"	"ORGANIZATION"	"grow into a most powerful force for the security of our nation ."																						
																								
		"It has also continued "	" as it began "	" as a force for the defense of freedom-our own and that of our allies "	" who are united to us by the sea only if we keep strong on it ."																			
																								
		"In this valuable documentary series "	" through the words of participants and eye witnesses "	" we read of a small"																				
"Continental Naval"	"ORGANIZATION"	"force which promptly challenged"																						
"Britain"	"LOCATION"	"'s absolute control of the sea ."																						
																								
		"Our first amphibious expedition landed in the"																						
"Bahamas"	"ORGANIZATION"	"3 March 1776 "	" and captured gravely needed munitions "	" proving to the foe that the infant"																				
"American Navy"	"ORGANIZATION"	"was a threat to be reckoned with ."																						
																								
		"Likewise we read in this volume how the tight siege by Gen - eral"																						
"Washington"	"LOCATION"	"'s army forced the British garrison out of"																						
"Boston"	"LOCATION"	0																						
																								
		"Yet because the"																						
"Royal Navy"	"ORGANIZATION"	"controlled the sea "	" the troops embarked in their transports and sailed away without loss under the guns of the"																					
"Royal Navy"	"ORGANIZATION"	0																						
																								
		0																						
																								
		"Where or when they would come over the hori - zon to strike again from the sea anywhere down the long coast "	" no one could predict with certainty ."																					
																								
		"But with their powerful fleets it was clear they would strike again and soon ."																						
																								
		"From the letters and other documents in these pages we can also sense the quickening of the Revolution and inexorable march toward the Declaration of Independence - and in time to the entry of"																						
"France"	"LOCATION"																							
"Spain"	"LOCATION"	"and"																						
"Holland"	"LOCATION"	"to turn the conflict into the fourth World War of the 18th century ."																						
																								
		"As our nation approaches the two hundredth anniversary of its birth "	" this series emphasizes once again the unchanging significance of seapower ."																					
																								
		"3n Memoriam On 31 October 1968 "	" when this Volume was still in page proof "																					
"William Bell Clark"	"PERSON"	"left his typewriter "	" beloved manuscripts "	" and notes for the last time ."																				
																								
		"He never awakened from that evening 's sleep but instead quietly embarked upon the great Joyage beyond earth 's last horizon ."																						
																								
		"His was a full and satisfying life of devoted work and marked achievement ."																						
																								
		"Mr."																						
"Clark"	"PERSON"	"'s unique knowledge of early naval history and his great industry will be sorely missed "	" and will be an inspiration to those of us who carry forward this monumental series ."																					
																								
		"Nothing but death shall stay me ."																						
																								
																								
"Julius Caesar"	"PERSON"		" IV "	" 3 ."																				
																								
