"WILLIAM BELL CLARK"																						
"ERNEST"																						
"MCNEILL ELLER"																						
"Ernest McNeiIl Eller"																						
"F. Kent Loomis"																						
"William James Morgan"																						
"V. James Robison"																						
"W. Bart Greenwood"																						
"Samuel Flagg Bemis"																						
"L. Kayser James P. Baxter"																						
"John Haskell Kemble Francis L. Berkeley"																						
"Leonard W. Labaree Julian P. Boyd Richard W. Leopold Marion V. Brewington Allan Nevins Jim Dan Hill Walter Muir Whitehill"																						
"L. H. Butterfield Oliver Wendell Holmes Howard H. Peckham"																						
"Caron"																						
"Joseph Ward"																						
"William Bell Clark"																						
"Clark"																						
"Julius Caesar"																						
"William Bell Clark"																						
"Villiam James Morgan"																						
"Patrick A. Lyons"																						
"Robert I. Campbell"																						
"Henry J. Scheffenacker"																						
"Eleanor Roll"																						
"Yeo"																						
"Joseph V. Eckert"																						
"Anne Kenenski"																						
"Petersilia"																						
"Raymond P. Schmidt"																						
"Personnelman George K. McCuistien"																						
"W. Bart Greenwood"																						
"Mary Pickens"																						
"Charles R. Haberlein Jr."																						
"Montgomery"																						
"Shuldham"																						
"Philip Stephens"																						
"Kennedy"																						
"E. M. Eller"																						
"George"																						
"H.M. Sloop Edward"																						
"Silas Deane"																						
"Deane"																						
"Richard Lord Howe"																						
"Howe"																						
"Eller"																						
"William Bell Clark"																						
"Massa"																						
"Francis Boardman"																						
"Nicholas Biddle"																						
"Samuel Dunn"																						
"R. Sayer"																						
"J. Bennett"																						
"Esek Hopkins"																						
"J. M. Will"																						
"Thomas Hart"																						
"Archibald Robertson"																						
"Astor"																						
"Tilden"																						
"Philip Schuyler"																						
"Leney"																						
"Benjamin Franklin"																						
"Goldar"																						
"John Andrews"																						
"J. Fielding"																						
"Guy Carleton"																						
"J. Wooding"																						
"Frederick S. Hicks"																						
"Wharton"																						
"J. Mount"																						
"Henry Laurens"																						
"Du SimitiPre"																						
"William Richardson"																						
"Wells"																						
"Thomas Jefferys"																						
"R. Sayer"																						
"J. Bennett"																						
"Thomas Foley"																						
"William Pierie"																						
"John Robertson"																						
"John M. Brown"																						
"J. F.W. Des Barres"																						
"Tobias Furneaux"																						
"James Northcote"																						
"Birkenhead"																						
"E. F. Taylor"																						
"M. Moore"																						
"Ramsey"																						
"Sandy Hook"																						
"R. Sayer"																						
"J. Bennett"																						
"Joseph Reed"																						
"Charles Willson Peale"																						
"Rivers"																						
"J. F. W. Des Barres"																						
"William Tryon"																						
"George Washington"																						
"DuVivier"																						
"J. F. W. Des Barres"																						
"T. Medland"																						
"N. Pocock"																						
"Charles Thomson"																						
"Rembrandt Peale"																						
"Charles Willson Peale"																						
"Castle William"																						
"Archibald Robertson"																						
"Astor"																						
"Tilden"																						
"Esek Hopkins"																						
"Daniel Henchman"																						
"John K. Lat-timer"																						
"Simeon Sampson"																						
"James A. Knowles"																						
"James Warren"																						
"John Singleton Copley"																						
"Winslow Warren"																						
"Henry Clinton"																						
"James Murray"																						
"Peter Parker"																						
"Ridley"																						
"Benjamin Lincoln"																						
"Charles Willson Peale"																						
"Charles Lee"																						
"Thomlinson"																						
"C. Shepherd"																						
"John Glover"																						
"John Trumbull"																						
"Hall Park McCullough"																						
"Israel Putnarn"																						
"Samuel Nicholas"																						
"Samuel Nicholas"																						
"Esek Hopkins"																						
"Jonathan Trum-bull"																						
"Richard Paton"																						
"A. Nelson"																						
"John Paul Jones"																						
"Countess Lowendahl"																						
"Joseph Hewes"																						
"Charles Willson Peale"																						
"Mary"																						
"Richard Gridley"																						
"Ashley Bowen"																						
"Humphrey"																						
"Thomas Jefferys"																						
"R. Sayer"																						
"J. Bennett"																						
"James Cook"																						
"Nathaniel Dance"																						
"J. Cleveley"																						
"Thomas Mil"																						
"Thomas Milton"																						
"Cork Harbour"																						
"Baily"																						
"Pocock"																						
"Charles Gravier"																						
"Vincenzo Vangelisti"																						
"Antoine F. Callet"																						
"Albert Museum"																						
"John Montagu"																						
"Earl"																						
"Frederick S. Hicks"																						
"Josiah Wedgewood"																						
"Albert Museum"																						
"Robert Pollard"																						
"James Murray"																						
"Anne S. K. Brown"																						
"Richard Howe"																						
"J. M. Will"																						
"John Morris"																						
"Anne S. K. Brown"																						
"Arthur Lee"																						
"Charles Willson Peale"																						
"Charles Brooking"																						
"Baye"																						
"Joseph Roux"																						
"Douze Feuilles"																						
"Y. Gravier"																						
"S. Wale"																						
"Fred - erick S. Hicks"																						
"Mansfield"																						
"George"																						
"Gouaz"																						
"Nicolas Ozanne"																						
"Howe"																						
"Darly"																						
"John Cleveley"																						
"Carington Bowles"																						
"Anne S. K. Brown"																						
"Henry Temple"																						
"Angelica Kauffman"																						
"Earl Mountbatten"																						
"Esek Hopkins"																						
"Molyneux Shuldham"																						
"Philip Stephens"																						
"Raoul"																						
"Jean Brunon"																						
"J. F. W. Des Barres"																						
"J. F. W. Des Barres"																						
"Joshua Fisher"																						
"William Faden"																						
"John Carroll"																						
"Gilbert Stuart"																						
"George"																						
"Hyde Parker"																						
"Molyneux Shuldham"																						
"James Josiah"																						
"Charles Willson Peale"																						
"Arthur J. Sussel"																						
"Ezra Stiles"																						
"Nicholas Biddle"																						
"James Peale"																						
"Charles Willson Peale"																						
"James Hunter"																						
"Whipple"																						
"Alfred"																						
"William Faden"																						
"Howe"																						
"Shuldham"																						
"Henry Clinton"																						
"Hyde Parker"																						
"Charles Lee"																						
"Clinton"																						
"Lee"																						
"David Wooster"																						
"Richard Montgomery"																						
"Benedict Arnold"																						
"Esek Hopkins"																						
"James Wright"																						
"Clinton"																						
"Dunmore"																						
"Robert Eden"																						
"PHILIP SCHUYLER"																						
"Montreal Feby"																						
"Brazier"																						
"Davd Wooster"																						
"Philip Schuyler"						" NA ."																
"I. Harold A. Innis"																						
"Innis"																						
"Perkins"																						
"Perkins"						" 1107 ."																
"Pidgeon Hill"																						
"Chace"																						
"Benjamin Warren"																						
"William Prosser"																						
"Shuldham"																						
"Wood"																						
"Samuel -RSB- Tucker"																						
"Salem"																						
"Wood"																						
"Harbour"																						
"Capt Benjamin Ward"																						
"John Pickering"																						
"Damascott"																						
"Jany"																						
"Danlascotta -LSB- Damariscotta"																						
"Jany"																						
"Perkins"																						
"Salem Benja Gale"																						
"Capt Perkins"																						
"Gale"																						
"Perkins"																						
"Capt Perkins"																						
"Ann"																						
"Capt Gale"																						
"Gale"																						
"Gale"																						
"Perkins"																						
"Perkins"																						
"Gale"																						
"Gale"																						
"Perkins"																						
"Vessell"																						
"Cape Ann"																						
"Perkins"																						
"Perkins"																						
"Perkins"																						
"William -RSB- Howe"																						
"Shuldham"																						
"Harbour"																						
"H.M.S. Fowey"																						
"Shuldham"																						
"Samuel Holten"																						
"James Otis"						" a French Vessel ran on shore on the"																
"Monsieur Le'Baron"																						
"Mallett"																						
"Hal - lett"																						
"Joseph -RSB- Hawley"																						
"-LSB- Nathaniel"																						
"Batcheldor"																						
"-LSB- Moses -RSB- David"																						
"Otis"																						
"Frederick Wilhelm"																						
"Baron de Woedtke"																						
"Benjamin Lincoln"																						
"Joseph Palmer"																						
"Moses Gill"																						
"Febry"																						
"Benjamin -RSB- Franklin"																						
"Danzig"																						
"Charles -RSB- Thomson"						" that all"																
"Baron"																						
"Sholes"																						
"Baron de M'oedtke"																						
"Jedediah Huntington"																						
"Jonathan Trumbull"																						
"Neighbours"						" whenever their Malice shall stimulate them to make us feel the Effects "	" of the unrelenting Vengeance of the `` royal Brute of"															
"Dorchester Neck"																						
"Rea"																						
"Miles"																						
"Quincy"																						
"Messrs Joseph D. Russell"																						
"Nicholas Cooke Junr"																						
"Messrs Brown"																						
"Tolman"																						
"Moulds"																						
"Stephen Hopkins Esqr Tumbling"																						
"Nicholas Brown Esqr"																						
"Lott"																						
"John I Clarke"																						
"Clarke"																						
"Nicholas Cooke Junr"																						
"D. Russell"																						
"John Brown"																						
"Hezekiah Sabin"																						
"John I. Clarke"																						
"Hezekiah Sa - bin Junr"																						
"Stephen Hop"																						
"Nicholas Brown Esqr"																						
"Jos Brown"																						
"Nicholas Brown"																						
"-LSB- James -RSB- Wallace"						" on Friday "	" they landed a number of men "	" who attacked and took a WINDMILL "	" on which they hoisted a flag by way of triumph "	" and then burnt the mill and 4 or 5 other buildings ."												
"-LSB- Alexander -RSB- McDougall"																						
"Charles -RSB- Lee"																						
"Silleck"																						
"Simeon Sellick"																						
"Lee"																						
"Silleck"																						
"Lee"																						
"McDougall"																						
"Norwood"																						
"Silleck"																						
"William -RSB- Livingston"																						
"Intelligence of the Motions of the Enemy"																						
"Ward"																						
"Blanchard"																						
"Thomas"																						
"Hyde"																						
"Parker"																						
"Vandepot"																						
"George Vandeput"																						
"Gordon"																						
"Henry Clinton"																						
"Gordon"																						
"Tryon"																						
"Clinton"																						
"Shott"																						
"David Collins"						" Shuldham 's Prize List "	" April 24 "	1776														
"John Alsop"																						
"Francis Lewis"																						
"Philip Livingston"																						
"Silas Deane"																						
"Robert Morris"																						
"Samuel Ward"																						
"Thomas McKean"																						
"Joseph Hewes"																						
"Josiah Bartlett"																						
"Robert Alexander Esqrs"																						
"John Alsop"																						
"Francis Lewis"																						
"Philip Livingston"																						
"Silas Deane"																						
"Robert Morris"																						
"John Alsop"																						
"Francis Lewis"																						
"Philip Livingston"																						
"Silas Deane"																						
"Robert Morris"																						
"John Legg"																						
"Samuel Ward John Alsop"																						
"Benjamin Franklin Philip Livingston Thomas McKean"																						
"Francis Lewis Joseph Hewes Robert Morris Josiah Bartlett Silas Deane Robert Alexander"																						
"Deane"																						
"JOSIAHBARTLETTTO JOHN LANGDON"																						
"Stephen -RSB- Hopkins"																						
"Col Willm Whipple"																						
"Sharp"																						
"Lee"																						
"Col Dickenson"																						
"Philemon Dickinson"																						
"Clinton"																						
"Benjamin -RSB- Franklin"																						
"Chace"																						
"Samuel Chase"																						
"Caryl"																						
"J. G. M. Stone"																						
"Bartlett"																						
"Langdon"																						
"Charles Carroll"																						
"Jesse Harding"																						
"Jenny"																						
"Capt Geo Woolsey"																						
"Solomon Allen"																						
"Sarah Zephaniah Sheperdson Master"																						
"Nicholas -RSB- Cooke"																						
"James Nicholson"																						
"James Bennet"																						
"Jean Bennet"																						
"James Nicholson"																						
"Joseph Caverly"																						
"Calen - dar"																						
"Wmsburg Feby"																						
"-LSB- Patrick -RSB- Henry"																						
"Inge"																						
"Phil"																						
"John Page"																						
"Andrew Snape Hamond Esqr Captn"																						
"Alexander -RSB- Graeme"																						
"Graves"																						
"Wil - liam Edwin Hemphill"																						
"Scarborough"																						
"J. Wright"																						
"Allen D. Candler"																						
"Candler"																						
"James Wright"																						
"Powell"																						
"Powell"																						
"Barkley"																						
"BARKLEY"																						
"SIRJAMESCAPTAINANDREW R.N."																						
"WRIGHT"																						
"Scarborough"																						
"Archibald Bulloch"																						
"I. Candler"																						
"Savanah Georgia"																						
"Joseph Vesey"																						
"Robert Coch"																						
"Christopher Gadsden"																						
"Hawke"																						
"Hunter"																						
"MACKENZIE"																						
"Charles -RSB- Lee"																						
"Richd Bulkeley James Law Esqr Cumberland"																						
"Bulkeley"																						
"Jeremiah Wardwel"																						
"Verey"																						
"Rigin"																						
"Jeremiah Wardwell"																						
"John Taylor"																						
"James Phinney Baxter"																						
"Baxter"																						
"Thomas Bishop"																						
"Dalton"																						
"Dalton"						" you have been allowed to purchase "	" as I confess I shall be rather disappointed "	" if she is to proceed home "	" - the price of Exchange is agreable "	" & hope ` ere this you have embraced the Opp -LSB- ortunitly of selling it at 75 p Ct - I am sorry to find you can not obtain Surrinam Molasses on my Terms as I wanted it much but the Difference of price "	" with the Addition of a Commission of 5 p Cent will not Answer "	" therefore would have you Ship me "	" as much as you can of -LSB-"									
"William -RSB- Willcombs Cargoe"																						
"Dalton"																						
"Melcher Keener"																						
"Thomas -RSB- Mason"						" without any more loss of Blood - I have duly advised our Friend -LSB-"																
"William -RSB- Wyer"																						
"Rect"																						
"Dalton"																						
"Eleazer"																						
"Johnson"																						
"Markett"																						
"Dalton"																						
"Enoch Coffin"																						
"Benjamin"																						
"Capt Johnson"																						
"Capt Wyer"																						
"Jenny"																						
"William Wood"																						
"Thomas Thomas"																						
"Speaker"																						
"James Tracy"																						
"James Tracy"																						
"Jonathan Jackson"																						
"Nathaniel Tracy"																						
"John Tracy"																						
"Joseph Lee"																						
"Enoch Titcomb"																						
"William Ames"																						
"Philip Schuyler"						" NA ."																
"Die Martis"																						
"A.M. Feby"																						
"Lee"																						
"Charles Lee"																						
"Woodhull"																						
"Prest"																						
"Lee"																						
"Lee"																						
"William Livingston"																						
