HENRY	PERSON	BELLEW Augt 1776 Thursday
Topgt	PERSON	sails and staysls - at 5 saw the Land , saw two sail to the Soward Tkd and gave
Chace	PERSON	- First part fresh Gales , midl and latter mode still in
Chace	PERSON	of the 2 Sail , 1/2 past 1 PM one of them , -LRB- a Brig -RRB- run onshore Do wore ship , and chaced the other , -LRB- a Sloop -RRB- at 2 , fir 'd two Guns at her , and brot her too , Do sent the Boat onbd and took poss -LSB- e -RSB- ssion of her , gave chace to the Brig , she having got off , and standing to the
N. S. Arch.	PERSON	, and the
N. S. Arch	PERSON	.
JABEZ WHIPPLE	PERSON	-LSB- 1776 -RSB- Thursday August 1 Daly Accounts At 4 AM come to Sail from sandy point of Nantuckt At AM took my Departur From sancutte heed In Lattd 41-10 ~ ondgd 60:40 a 8 sancutte heed Bar WBS .
Spok	PERSON	with a Scuner bound to plymoth From fishing - Mor sounded on
Gorgs	PERSON	got 28 fatham 1 .
NATHANIEL SHAW	PERSON	, JR. TO GEORGE
Simeon -RSB- Wolcott	PERSON	will deliver you a Turtle wich was taken in a Ship bound from
Capt Biddle	PERSON	in the
Brigg Andrew Doria	PERSON	, & was Sent into this Port but Unfortunately was Lost on the Rocks of
Chas	PERSON	'd by a Man of
Warr	PERSON	, we Sav 'd About Ninety Puncheons of Rum , the Sugar 250 hhds all Lost & the Ship - and as the Turtle Gas Intended for the Support of our Enemys , we thought best to Send him to head Quarters , to be Dealt with .
Nathaniel	PERSON	and
Elizabeth	PERSON	.
Shaw	PERSON	for the `` fine Turtle , which was very acceptable . ''
Row Gallies	PERSON	, on the construction of those in the river
Burgoyne	PERSON	intends to visit us .
PHILIP SCHUYLER	PERSON	TO
JOHN HANCOCK	PERSON	-LSB- Extract -RSB- German Flatts august 1st 1776 .
Arnold	PERSON	in a Letter of the 24th Ult : from
Trumbull	PERSON	on the Subject , and as General
Arnold	PERSON	suggested that they could not be got for the Wages allowed Seamen by
Samuel Chew	PERSON	and
Francis Brown	PERSON	of New Haven , Capt Amos Green of
Azariah -RSB- Whitlesey	PERSON	of
Seth Warner	PERSON	of
Haddam	PERSON	would if not employed , be willing to engage as Captains to command Vessels on
Trumbull	PERSON	will make the most favorable Contract for the public that he can .
Philip Schuyler	PERSON	-RRB- , 153 , II , 248 , 250-52 , NA .
JONATHAN TRUMBULL	PERSON	-LSB- Extract -RSB-
WILLIAM HEATH	PERSON	-LSB-
William Abbatt	PERSON	, ed. , Memoirs of Major-General
William Heath	PERSON	by Himself -LRB-
Heath Memoirs	PERSON	.
BENJAMIN TRUMBULL	PERSON	'S JOURNAL OF THE CAMPAIGN AT
Peter Parker	PERSON	's Fleet , with Generals
Clinton	PERSON	& Lord
Cornwallis	PERSON	, and the Troops under their Command , on board .
Charles Town	PERSON	, and lost near 200 Men , in Killed & Wounded , belonging to the Ships .
Edward H. Tatum	PERSON	,
Jr.	PERSON	, ed. , The American Journal of Ambrose Serle , 1776-1778 -LRB-
Tatum	PERSON	, ed. ,
Serle	PERSON	's
THOMAS MOFFAT	PERSON	-LSB- On board
H. M. Sloop Swan	PERSON	-RSB- Thursday Augst 1st -LSB- 1776 -RSB- Signal from the light
Captn -LSB- James -RSB- Ayscough	PERSON	and descryd from the
Thomas Moffat	PERSON	's Diary , July 30 , 1775 to October 8 , 1777 , LC .
CHRISTOPHER MARSHALL	PERSON	-LSB-
John Bayley	PERSON	to
James Montgomery	PERSON	Capt of one of our Gondolas ... going to
Christopher Marshall	PERSON	, HSP .
Marshall	PERSON	was chairman ` of the
JOHN HAMILTON	PERSON	AND
JAMES MONTGOMERY	PERSON	TO THE
Hamilton	PERSON	commanded the
Montgomery	PERSON	, the galley
Montgomery	PERSON	,
Saml Davison	PERSON	,
Lieut J. Hennesey	PERSON	,
Jno Hambleton	PERSON	,
Nathan Boyce	PERSON	,
H. Montgomery	PERSON	,
Dickenson	PERSON	,
John Rice	PERSON	,
Jams Montgomery	PERSON	,
Thos Moore	PERSON	,
Warren	PERSON	,
Burke	PERSON	,
Cam bden	PERSON	,
Sallamander	PERSON	, Porcupine , Brimstone , Terror , Vulture ,
Sloop Hetty	PERSON	, do .
Schoonr Lydia Sloop Sally	PERSON	,
Thos Houstin	PERSON	,
James Blair	PERSON	,
Richd Ayres	PERSON	,
Alexr Henderson	PERSON	,
H. Dougherty	PERSON	,
Lieut B. Thompson	PERSON	,
Lieut Rt Hinne	PERSON	-LSB-
Hume	PERSON	-RSB-
Charles Lawrence	PERSON	, Rt Tatnell ,
W. Watkin	PERSON	,
Rt Hardie	PERSON	,
Jacob Hance	PERSON	,
Edwd Bingley	PERSON	,
W. Gamble	PERSON	,
H. Hoover	PERSON	,
A. Gardner	PERSON	,
J. Simpson	PERSON	,
M. Wirt	PERSON	, Directed .
Hancock	PERSON	and
Adams	PERSON	, ~ vith wheat , had arrived at
Gibb	PERSON	's ship , capt.
Robinson	PERSON	, is below , from
Purdie	PERSON	's
Virginia Gazette	PERSON	, August 16 , 1776 .
CHARLES	PERSON	POPE TO THOMAS RODNEY Dr Sir Wilmington August 1st 1776 Since I saw you in ~ krucastle , I have been treating with a Carpenter of this place , who engages to build and have ready for launching a Vessel by the Middle of October provided we procure three or four Workmen for him-At present he has but two , and says it will take six hands to build her in ten weeks : - The Dimensions agreed on are 54 feet Keel , 20 feet Beam and 8 feet Hold .
Barrey	PERSON	-LSB-
John Barry	PERSON	-RSB- is 58 feet Keel-21 feet Beam-and 9 feet Hold-The carpinters say her length will be a considerable advantage to her sailing-Several Labourers have been employed two or three days in cutting the Timber and Keel-the greatest part of the
McGarmot	PERSON	to ride down to
Lewis Town-Cedar	PERSON	and
Charles Pope	PERSON	1 .
Pope	PERSON	commanded the
Rodney	PERSON	, his regiment marched and arrived in
Christopher L. Ward	PERSON	, The
SAMUEL PURVIANCE	PERSON	, JR. TO JOSEPH HEWES Dear Sir Baltimore August 1st 1776 .
Captn James Nicholson	PERSON	, who agreeable to what I lately wrote you goes up to wait on your Board % receive their Instructions & c about the Outfit of the
Captn Nicholson	PERSON	, & will render every As - sist -LSB- an -RSB- ce he can in collecting & forwarding such Stores & c as are wanted from
Saml Purviance Junr	PERSON	1 .
Hewes	PERSON	was a member of the
Stephen -RSB- Steward	PERSON	our agent will attend to compleat the con-tract , and give directions .
Woolsey	PERSON	& Salmon Letter Book , LC , contains August 7 notation : `` Wrote the Councill of Safety Letting them know they Could not have the Schooner that is building . ''
John Hutchings Esqr	PERSON	be first Commissioner of this Board Protempore Ordered that a Warrant Issue to
John Hart	PERSON	for Nineteen pounds twelve shillings and four pence for Necessaries furnished the Schooner Revenge Capt -LSB-
William -RSB- Deane	PERSON	- Ordered that a Warrant Issue to
William Cook	PERSON	for four pounds one shill - ing and six pence for Nails Bolts and other Articles furnished Capt
William Deane	PERSON	for the use of the Schooner Revenge-Ordered that a Warrant Issue to
Capt Edward Travis	PERSON	for four hundred and thirty one pounds for Disbursements and for the payment of his Men from the time of their Enlistment to this day ' Ordered that a Warrant Issue to Lieutenant
James Quarles	PERSON	for One hundred and twenty two pounds one shilling & three pence .
Ballance	PERSON	of his Account for recruiting Service and for the
Thomas Lilly	PERSON	for thirty pounds on Account for necessaries furnished the Brig Liberty - Ordered that the Gallies to be Built by Mr
Caleb Herbert	PERSON	pursuant to an Order of the Honourable the
William Frazer	PERSON	one of the Contractors for the district of
Caleb Herbert	PERSON	with provisions necessary for Victualling the Workmen now Building a Row
Gallie	PERSON	under the direction of the said
Herbert	PERSON	pursuant to an Order of
Manley	PERSON	.
Frazer	PERSON	on August 4 .
James	PERSON	,
York	PERSON	and
Rappahanock Rivers	PERSON	to provide Materials for building the same ; but as this Board do not know what progress may have been made therein , and do not look upon themselves as competent Judges of Naval affairs are of opinion that the Commissioners of the
Thomas Everard	PERSON	,
Joseph Prentis	PERSON	, and
John Tyler Esquires	PERSON	having sent their several Resignations in writing of their Offices as Judges of the
William Holt	PERSON	,
George Seaton	PERSON	, and
William Armistead	PERSON	junior Esquires are appointed Judges of the said
H. R. McIlwaine	PERSON	, ed. , Journals of the Council of the State of
McIlwaine	PERSON	, ed. , Journals of the
John Gale	PERSON	or
William Calvert	PERSON	be appointed to the Command of the
Laden	PERSON	with a
Brigantine Betsey	PERSON	.
Robert Smith Esquire	PERSON	of
James Ferguson	PERSON	Master the following Articles , to wit .
Hogshead Staves	PERSON	and heading , he having entered into Bond with Security in the Sum of One thousand pounds to import into this province the Net proceeds of the Staves above mentioned in Salt Arms Ammunition and other war - like Stores .
ROBERT COCHRAN	PERSON	TO
JOHN LANGDON	PERSON	,
Pickran	PERSON	that come from
Robt Cochran	PERSON	1 .
John Langdon	PERSON	Papers , Captain
J. G. M. Stone	PERSON	Private Collection ,
Thomas Pickering	PERSON	.
JOHN ALMON	PERSON	'S REMEMBRANCER , 1776 St.
Vincent	PERSON	's , Aug 1 .
Capt Bennett	PERSON	-LSB- sic
John Chapman	PERSON	-RSB- , on her way from
Bennett	PERSON	-LSB- sic -RSB- learned at
John Almon	PERSON	, ed. , The Remembrancer ; or Impartial Repository of Public .
Almon	PERSON	, ed. , Remembrancer .
Chapman	PERSON	described the Reprisal 's colors as red and white striped with the union next the staff , and made no mention of any yellow .
Chapman	PERSON	to Vice Admiral
Young	PERSON	, July 29 , 1776 .
Benjamin Goodhue	PERSON	of
Allan Hallet	PERSON	is intended to be Commander .
Allen Hallet	PERSON	may be Comissionated as Captain of the said
Petitioner	PERSON	as in duty bound shall ever Pray -
Benjamin Goodhue	PERSON	Read and Ordered that the Abovementioned
Allen Hallet	PERSON	be Comission - ated as Captain of said Schooner , On his giving
Bonds	PERSON	with Sufficient Sure - ties to Comply with the Order of the
Archibald Duthie	PERSON	,
Humbly Sheweth	PERSON	, I was taken About three Weeks ago By the Sturdy Beggar Privateer comanded by
Capt Peter Lander	PERSON	, in my Passage from
M. H. Servt	PERSON	-
Archibald Duthie	PERSON	- Ordered that the Officers taken by
John Fisk	PERSON	Commander of the Tyrrannicide deliver their Swords into the
John Winthrop Junr	PERSON	& others Humbly Sheweth , - That your Petitioners Owners of the Schooner warren , burthen about Seventy Tons , Armed withe Four four
William Coas Commandr	PERSON	,
Coas Gardner	PERSON	1st Leut both of
Moses Harris	PERSON	of
John Winthrop Junr	PERSON	- Read & Ordered that a Comission be Issued to the above Mention 'd
William Coas	PERSON	, Commander of the
Daniel Souther	PERSON	Comander of the Brigantine Massa-chusetts or his Order the following Articles taking proper receipts for the same Vizt - 14 four or Six Pounders - 14 Swivels 3 .
Grape Shott	PERSON	40 Muskets 100 lb hiuskett Ball 20 pr .
John Winthrop Junr	PERSON	of
Sheweth	PERSON	, that your
Petitioner	PERSON	being part Owner of the
Schooner	PERSON	having every necessary Equipment but the Article but -LSB- sic of -RSB- Gun Powder and for want of which she is Unable to proceed on her
Your Petitioner	PERSON	would therefore request permission of yr Honors to Allow him to purchase Seven Hundred pounds weight of the said Article of Gun Powder out of the
Petitioner	PERSON	as in Duty bound shall ever pray -
John Winthrop Junr	PERSON	- Read & Ordered , that the Comissary be & he hereby is directed to deliver Mr
John Winthrop	PERSON	Jnr Seven Hundred pounds of Gun Powder for the beforementiond Schooner , he paying the Money or returning the
Miles Greenwood	PERSON	of
Petitioner	PERSON	in Company with his sd partners , is now fitting out with all Dis - patch and allmost Compleated for the Sea a Private Schooner of War call 'd the True American , to be Commanded by
Capt Danl Hathorne	PERSON	, to be Mounted with twelve Carriage Guns , and Navigated with Seventy Men , with design to disstres and Captivate , the Subjects Servants & Vessels of the
Petitioner	PERSON	as in duty bound shall ever pray -
Miles Greenwood	PERSON	or Order Seven Hundred w -LSB- e -RSB- ight of Powder out of the Powder Now at ,
James Arnout	PERSON	, was sent into this harbour by
Caleb Hopkins	PERSON	, who calls himself `` Commander of the armed ship called the George , & c. '' has libelled the ship called the Queen of
