DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V01_0002,"Bland, Theodorick","THEODORICK BLAND TO FARREL & JONES, BRISTOL MERCHANTS1",Theodorick Bland,THEODORICK BLAND,title,/TaggedPDF-doc/div/doc[2]/title/aut
NDAR_V01_0003,"Bland, Theodorick",THEODORICK BLAND 'S SATIRICAL ADDRESS TO FREDERICK LORD N,Theodorick Bland,THEODORICK BLAND,title,/TaggedPDF-doc/div/doc[3]/title/aut
NDAR_V01_0004,"Graves, Vice Admiral Samuel",NARRATIVE OF VICE ADMIRAL SAMUEL GRAVES 1 [Boston] 1774 Decr 4th,Vice Admiral Samuel Graves,VICE ADMIRAL SAMUEL GRAVES,title,/TaggedPDF-doc/div/doc[4]/title/aut
NDAR_V01_0006,"Barker, John (Lieutenant)","DIARY OF LIEUTENANT JOHN BARKER 1 [Boston] 5th [December, 1774]",Lieutenant John Barker,LIEUTENANT JOHN BARKER,title,/TaggedPDF-doc/div/doc[6]/title/aut
NDAR_V01_0007,"Committee, Baltimore",MINUTES OF THE BALTIMORE COMMITTEE 1 At a Meeting of the Committee,Baltimore Committee,BALTIMORE COMMITTEE,title,/TaggedPDF-doc/div/doc[7]/title/aut
NDAR_V01_0008,"Committee, Baltimore",MINUTES OF THE BALTIMORE COMMITTEE 1 At a meeting of,Baltimore Committee,BALTIMORE COMMITTEE,title,/TaggedPDF-doc/div/doc[8]/title/aut
NDAR_V01_0009,"Island, Assembly of Rhode (General)","JOURNAL OF THE GENERAL ASSEMBLY OF RHODE ISLAND 1 [Providence, Thursday, Decemb",General Assembly of Rhode Island,GENERAL ASSEMBLY OF RHODE ISLAND,title,/TaggedPDF-doc/div/doc[9]/title/aut
NDAR_V01_0010,"Graves, Vice Admiral Samuel",VICE ADMIRAL SAMUEL GRAVES TO GENERAL THOMAS GAGE1 Sir,Vice Admiral Samuel Graves,VICE ADMIRAL SAMUEL GRAVES,title,/TaggedPDF-doc/div/doc[10]/title/aut
NDAR_V01_0011,"Barker, John (Lieutenant)","DIARY OF LIEUTENANT JOHN BARKER 1 [Boston] 10th. [December, 177",Lieutenant John Barker,LIEUTENANT JOHN BARKER,title,/TaggedPDF-doc/div/doc[11]/title/aut
NDAR_V01_0013,"Office, James River Naval",""" JAMES RIVER NAVAL OFFICE , MANIFEST BOOK 1774-1775""1",James River Naval Office,JAMES RIVER NAVAL OFFICE,title,/TaggedPDF-doc/div/doc[13]/title/aut
