DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V02_0004,Mercury,MASTER'S LOG OF H.M.S. MERCURY Sepr 1775 Sunday 3d Remarks On,Mercury,MERCURY,title,/TaggedPDF-doc/div/doc[4]/title/ship
NDAR_V02_0004,Mercury (Ship),Sunday 3d Remarks On Bd His Majt. Ship MERCURY [off Norfolk] A,Mercury,Mercury,dl,/TaggedPDF-doc/div/doc[4]/dl/ship
NDAR_V02_0005,Otter (Sloop),"JOURNAL OF H.M. SLOOP OTTER , CAPTAIN MATTHEW SQUIRE Septem",Otter,OTTER,title,/TaggedPDF-doc/div/doc[5]/title/ship
NDAR_V02_0012,Preston,"TO FRANCIS LEGGE Sir, PRESTON Boston 4 Sepr 1775",Preston,Preston,dl,/TaggedPDF-doc/div/doc[12]/dl/ship
NDAR_V02_0013,Preston,MIRAL ROBERT DUFF Sir PRESTON Boston 4 Sepr 1775,Preston,Preston,dl,/TaggedPDF-doc/div/doc[13]/dl/ship
NDAR_V02_0014,Somerset,"RAVES TO CAPTAIN EDWARD LE CRAS, H.M.S. SOMERSET , HALIFAX Sir Preston",Somerset,SOMERSET,title,/TaggedPDF-doc/div/doc[14]/title/ship
NDAR_V02_0014,Preston,"SOMERSET, HALIFAX Sir PRESTON at Boston 4 Sepr 1775, Herewit",Preston,Preston,dl,/TaggedPDF-doc/div/doc[14]/dl/ship
NDAR_V02_0015,Gaspee (Brig),"TO LIEUTENANT WILLIAM HUNTER, H.M. BRIG GASPEE Whereas it appears to me from",Gaspee,GASPEE,title,/TaggedPDF-doc/div/doc[15]/title/ship
NDAR_V02_0016,Rose,"JOURNAL OF H.M.S. ROSE , CAPTAIN JAMES WALLACE Septr 1",Rose,ROSE,title,/TaggedPDF-doc/div/doc[16]/title/ship
NDAR_V02_0017,Polly (Sloop),"ugust 29].1 . . . 1. The sloop POLLY , Samuel Perkins, master, from New Haven",Polly,Polly,note,/TaggedPDF-doc/div/doc[17]/note/ship[1]
NDAR_V02_0017,Kingsfisher,"h cattle, horses and corn, taken by the KINGSFISHER , August 3, 1775, and condemned and sold",Kingsfisher,Kingsfisher,note,/TaggedPDF-doc/div/doc[17]/note/ship[2]
NDAR_V02_0018,Spy (Schooner),s. 2. The Connecticut schooner SPY .,Spy,Spy,note,/TaggedPDF-doc/div/doc[18]/note/ship
NDAR_V02_0024,Thomas (Ship),"last they were impressed from the ship THOMAS , James Crawford master, and put on boar",Thomas,Thomas,p,/TaggedPDF-doc/div/doc[24]/p[1]/ship[1]
NDAR_V02_0024,Otter (Ship),"rn capt. Squires, of his majesty's ship OTTER , my warmest thanks for his very kind ho",Otter,Otter,p,/TaggedPDF-doc/div/doc[24]/p[1]/ship[2]
NDAR_V02_0024,Otter (Ship),"rn capt. Squires, of his majesty's ship OTTER , my warmest thanks for his very kind ho",Otter,Otter,p,/TaggedPDF-doc/div/doc[24]/p[2]/ship[1]
NDAR_V02_0024,Otter (Ship),"rn capt. Squires, of his majesty's ship OTTER , my warmest thanks for his very kind ho",Otter,Otter,p,/TaggedPDF-doc/div/doc[24]/p[2]/ship[2]
NDAR_V02_0024,Otter (Ship),"rn capt. Squires, of his majesty's ship OTTER , my warmest thanks for his very kind ho",Otter,Otter,p,/TaggedPDF-doc/div/doc[24]/p[2]/ship[3]
NDAR_V02_0025,Mercury,MASTER'S LOG OF H.M.S. MERCURY Sepr 1775 Monday 4th Remarks O,Mercury,MERCURY,title,/TaggedPDF-doc/div/doc[25]/title/ship
