DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V02_0001,"Washington, George",ORDERS OF GEORGE WASHINGTON TO REUBEN COLBURN Head Quarter,George Washington,GEORGE WASHINGTON,title,/TaggedPDF-doc/div/doc[1]/title/aut
NDAR_V02_0001,"Colburn, Reuben","ORDERS OF GEORGE WASHINGTON TO REUBEN COLBURN Head Quarters at Cambridge, Se",Reuben Colburn,REUBEN COLBURN,title,/TaggedPDF-doc/div/doc[1]/title/rec
NDAR_V02_0002,"Potter, Simeon",SIMEON POTTER TO LIEUTENANT COLONEL WILLIAM TURNER MI,Simeon Potter,SIMEON POTTER,title,/TaggedPDF-doc/div/doc[2]/title/aut
NDAR_V02_0002,"Miller, Colonel William Turner (Lieutenant)",SIMEON POTTER TO LIEUTENANT COLONEL WILLIAM TURNER MILLER [Extract] Bristol Sep,Lieutenant Colonel William Turner Miller,LIEUTENANT COLONEL WILLIAM TURNER MILLER,title,/TaggedPDF-doc/div/doc[2]/title/rec
NDAR_V02_0003,"Trumbull, Jonathan",JONATHAN TRUMBULL TO MATTHEW GRISWOLD Sir,Jonathan Trumbull,JONATHAN TRUMBULL,title,/TaggedPDF-doc/div/doc[3]/title/aut
NDAR_V02_0003,"Griswold, Matthew",JONATHAN TRUMBULL TO MATTHEW GRISWOLD Sir Lebanon 3d Septr,Matthew Griswold,MATTHEW GRISWOLD,title,/TaggedPDF-doc/div/doc[3]/title/rec
NDAR_V02_0005,"Squire, Matthew (Captain)","JOURNAL OF H.M. SLOOP OTTER, CAPTAIN MATTHEW SQUIRE Septemr 1775 Sunday 3 Elizabet",Captain Matthew Squire,CAPTAIN MATTHEW SQUIRE,title,/TaggedPDF-doc/div/doc[5]/title/rec
NDAR_V02_0006,"Scotia, Royal Council of Nova",MINUTES OF THE ROYAL COUNCIL OF NOVA SCOTIA At a Council holden at Halifax,Royal Council of Nova Scotia,ROYAL COUNCIL OF NOVA SCOTIA,title,/TaggedPDF-doc/div/doc[6]/title/aut
NDAR_V02_0007,"Bulkeley, Richard",RICHARD BULKELEY TO JOSEPH WINNIETT AND THOMAS WILLIAMS,Richard Bulkeley,RICHARD BULKELEY,title,/TaggedPDF-doc/div/doc[7]/title/aut
NDAR_V02_0007,"Winniett, Joseph",RICHARD BULKELEY TO JOSEPH WINNIETT AND THOMAS WILLIAMS [Extract],Joseph Winniett,JOSEPH WINNIETT,title,/TaggedPDF-doc/div/doc[7]/title/rec[1]
