DOC_ID,REPOSITORY,BOOK_SOURCE,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V02_0001,,"John C. Fitzpatrick, ed., The Writings of George Washington (Washington, 1921-1940). ","1. John C. Fitzpatrick, ed., The Writings of George Washington (Washington, 1931-44), III, 471. Hereafter cited as Fitzpatrick, ed., Writings of Washington.",doc,/TaggedPDF-doc/div/doc[1]/src
NDAR_V02_0002,"Rhode Island Historical Society, Providence",,"1. Rhode Island Historical Society Manuscripts, RIHS.",doc,/TaggedPDF-doc/div/doc[2]/src
NDAR_V02_0003,"Yale University Library, New Haven",,1. YUL. Trumbull was Governor of Connecticut.,doc,/TaggedPDF-doc/div/doc[3]/src
NDAR_V02_0004,"Public Record Office, London",,"1. PRO, Admiralty 52/1866.",doc,/TaggedPDF-doc/div/doc[4]/src
NDAR_V02_0005,"Public Record Office, London",,"1. PRO, Admiralty 51/663.",doc,/TaggedPDF-doc/div/doc[5]/src
NDAR_V02_0006,"Nova Scotia Archives, Halifax","Minutes of Council Aug. 23, 1766 to Oct. 6, 1783, N.S. Arch. ","1. Minutes, of the Executive Council of Nova Scotia, January 2, 1775 to October 6, 1783. Public Archives of Nova Scotia, Halifax, N.S. Hereafter cited as Council Minutes, N.S. Arch.",doc,/TaggedPDF-doc/div/doc[6]/src
NDAR_V02_0007,"Nova Scotia Archives, Halifax",,"1. Council Letter Book, 221, N.S. Arch. Bulkeley was secretary of the Nova Scotia Council. Winniett and Williams were residents of Annapolis Royal.",doc,/TaggedPDF-doc/div/doc[7]/src
NDAR_V02_0010,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. The Conduct of Vice Admiral Samuel Graves in North America in 1774, 1775 and January 1776, British Museum, Mss. 14038 and 14039; I, 116-117. Hereafter cited as Graves's Conduct, BM. Graves was Vice Admiral of the White and Commander-in-Chief on the North American Station.",doc,/TaggedPDF-doc/div/doc[10]/src
NDAR_V02_0011,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Gage Papers, CL; copy in Graves's Conduct, I, 116-117, BM. Gage was Royal Governor of Massachusetts and commanded British military forces in North America.",doc,/TaggedPDF-doc/div/doc[11]/src
NDAR_V02_0012,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, Appendix, 84-85, BM.",doc,/TaggedPDF-doc/div/doc[12]/src
