DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V02_0001,"Washington, George",ORDERS OF GEORGE WASHINGTON TO REUBEN COLBURN Head Quarter,George Washington,GEORGE WASHINGTON,title,/TaggedPDF-doc/div/doc[1]/title/aut
NDAR_V02_0002,"Potter, Simeon",SIMEON POTTER TO LIEUTENANT COLONEL WILLIAM TURNER MI,Simeon Potter,SIMEON POTTER,title,/TaggedPDF-doc/div/doc[2]/title/aut
NDAR_V02_0003,"Trumbull, Jonathan",JONATHAN TRUMBULL TO MATTHEW GRISWOLD Sir,Jonathan Trumbull,JONATHAN TRUMBULL,title,/TaggedPDF-doc/div/doc[3]/title/aut
NDAR_V02_0006,"Scotia, Royal Council of Nova",MINUTES OF THE ROYAL COUNCIL OF NOVA SCOTIA At a Council holden at Halifax,Royal Council of Nova Scotia,ROYAL COUNCIL OF NOVA SCOTIA,title,/TaggedPDF-doc/div/doc[6]/title/aut
NDAR_V02_0007,"Bulkeley, Richard",RICHARD BULKELEY TO JOSEPH WINNIETT AND THOMAS WILLIAMS,Richard Bulkeley,RICHARD BULKELEY,title,/TaggedPDF-doc/div/doc[7]/title/aut
NDAR_V02_0008,"Legge, Francis",FRANCIS LEGGE TO GENERAL THOMAS GAGE Sir.,Francis Legge,FRANCIS LEGGE,title,/TaggedPDF-doc/div/doc[8]/title/aut
NDAR_V02_0010,"Graves, Vice Admiral Samuel",NARRATIVE OF VICE ADMIRAL SAMUEL GRAVES [Boston] 1775 Sepr 4,Vice Admiral Samuel Graves,VICE ADMIRAL SAMUEL GRAVES,title,/TaggedPDF-doc/div/doc[10]/title/aut
NDAR_V02_0011,"Gage, Thomas (General)",GENERAL THOMAS GAGE TO VICE ADMIRAL SAMUEL GRAVES,General Thomas Gage,GENERAL THOMAS GAGE,title,/TaggedPDF-doc/div/doc[11]/title/aut
NDAR_V02_0012,"Graves, Vice Admiral Samuel","VICE ADMIRAL SAMUEL GRAVES TO FRANCIS LEGGE Sir,",Vice Admiral Samuel Graves,VICE ADMIRAL SAMUEL GRAVES,title,/TaggedPDF-doc/div/doc[12]/title/aut
NDAR_V02_0013,"Graves, Vice Admiral Samuel",VICE ADMIRAL SAMUEL GRAVES TO REAR ADMIRAL ROBERT DUFF Si,Vice Admiral Samuel Graves,VICE ADMIRAL SAMUEL GRAVES,title,/TaggedPDF-doc/div/doc[13]/title/aut
NDAR_V02_0014,"Graves, Vice Admiral Samuel","VICE ADMIRAL SAMUEL GRAVES TO CAPTAIN EDWARD LE CRAS, H.M.S. SOMER",Vice Admiral Samuel Graves,VICE ADMIRAL SAMUEL GRAVES,title,/TaggedPDF-doc/div/doc[14]/title/aut
NDAR_V02_0015,"Graves, Vice Admiral Samuel","VICE ADMIRAL SAMUEL GRAVES TO LIEUTENANT WILLIAM HUNTER, H.M. BRIG",Vice Admiral Samuel Graves,VICE ADMIRAL SAMUEL GRAVES,title,/TaggedPDF-doc/div/doc[15]/title/aut
NDAR_V02_0016,"Wallace, James (Captain)","JOURNAL OF H.M.S. ROSE, CAPTAIN JAMES WALLACE Septr 1775 Monday 4 Moor'd in",Captain James Wallace,CAPTAIN JAMES WALLACE,title,/TaggedPDF-doc/div/doc[16]/title/aut
NDAR_V02_0018,"Safety, Connecticut Committee of","MINUTES OF THE CONNECTICUT COMMITTEE OF SAFETY [Lebanon] Monday, 4 September.",Connecticut Committee of Safety,CONNECTICUT COMMITTEE OF SAFETY,title,/TaggedPDF-doc/div/doc[18]/title/aut
