DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V02_0001,Head Quarters at Cambridge,"E WASHINGTON TO REUBEN COLBURN HEAD QUARTERS AT CAMBRIDGE , September 3, 1775. You are to",Head Quarters at Cambridge,Head Quarters at Cambridge,dl,/TaggedPDF-doc/div/doc[1]/dl/plc
NDAR_V02_0002,Bristol,RNER MILLER [Extract] BRISTOL Septr 3th 1775 But what figuer,Bristol,Bristol,dl,/TaggedPDF-doc/div/doc[2]/dl/plc
NDAR_V02_0003,Lebanon,MATTHEW GRISWOLD Sir LEBANON 3d Septr 1775 I received your',Lebanon,Lebanon,dl,/TaggedPDF-doc/div/doc[3]/dl/plc
NDAR_V02_0004,Norfolk,Majt. Ship Mercury [off NORFOLK ] At 4 A M Moor Mod[era]t betwe,Norfolk,Norfolk,dl,/TaggedPDF-doc/div/doc[4]/dl/plc
NDAR_V02_0005,Elizabeth River Virginia,W SQUIRE Septemr 1775 Sunday 3 ELIZABETH RIVER [VIRGINIA] at 9 A M took up the Sheet Anc,Elizabeth River [Virginia],Elizabeth River [Virginia],dl,/TaggedPDF-doc/div/doc[5]/dl/plc
NDAR_V02_0006,Halifax,SCOTIA At a Council holden at HALIFAX on the 4th of September 1775 P,Halifax,Halifax,dl,/TaggedPDF-doc/div/doc[6]/dl/plc
NDAR_V02_0007,Halifax,[Extract] Secys Office HALIFAX 4th September 1775. GentlemenT,Halifax,Halifax,dl,/TaggedPDF-doc/div/doc[7]/dl/plc
NDAR_V02_0008,Nova Scotia Halifax,ERAL THOMAS GAGE Sir. NOVA SCOTIA HALIFAX 4th September 1775 I have the,Nova Scotia Halifax,Nova Scotia Halifax,dl,/TaggedPDF-doc/div/doc[8]/dl/plc
NDAR_V02_0009,Watertown,"TTE, MONDAY, SEPTEMBER 4, 1775 WATERTOWN , September 4. Early last Wedne",Watertown,Watertown,dl,/TaggedPDF-doc/div/doc[9]/dl/plc
NDAR_V02_0010,Boston,OF VICE ADMIRAL SAMUEL GRAVES [ BOSTON ] 1775 Sepr 4 The General now s,Boston,Boston,dl,/TaggedPDF-doc/div/doc[10]/dl/plc
NDAR_V02_0011,Boston,"SAMUEL GRAVES (Copy) BOSTON September 4th 1775. Sir, In y",Boston,Boston,dl,/TaggedPDF-doc/div/doc[11]/dl/plc
NDAR_V02_0012,Boston,"Sir, Preston BOSTON 4 Sepr 1775 I have received yo",Boston,Boston,dl,/TaggedPDF-doc/div/doc[12]/dl/plc
NDAR_V02_0013,Boston,Sir Preston BOSTON 4 Sepr 1775 Your known Zeal fo,Boston,Boston,dl,/TaggedPDF-doc/div/doc[13]/dl/plc
NDAR_V02_0014,Boston,"ALIFAX Sir Preston at BOSTON 4 Sepr 1775, Herewith you will",Boston,Boston,dl,/TaggedPDF-doc/div/doc[14]/dl/plc
NDAR_V02_0015,Boston,hand on board his Majs Ship Preston at BOSTON 4 Sepr 1775 Saml Gra,Boston,Boston,p,/TaggedPDF-doc/div/doc[15]/docBody/p[2]/plc
NDAR_V02_0016,Rhode Island Harbour,Septr 1775 Monday 4 Moor'd in RHODE ISLAND HARBOUR at 11 A M Anchd in Rhode Islan,Rhode Island Harbour,Rhode Island Harbour,dl,/TaggedPDF-doc/div/doc[16]/dl/plc
NDAR_V02_0017,Newport,"URY, MONDAY, SEPTEMBER 4, 1775 NEWPORT , September 4. A sloop was late",Newport,Newport,dl,/TaggedPDF-doc/div/doc[17]/dl/plc
NDAR_V02_0018,Lebanon,"NNECTICUT COMMITTEE OF SAFETY [ LEBANON ] Monday, 4 September. On infor",Lebanon,Lebanon,dl,/TaggedPDF-doc/div/doc[18]/dl/plc
NDAR_V02_0019,New York,"ACHLEY WEBB [Extract] NEW YORK , 4th September, 1775. You doub",New York,New York,dl,/TaggedPDF-doc/div/doc[19]/dl/plc
NDAR_V02_0020,Philadelphia,"Joseph Belton. Dated PHILADELPHIA , Sept. 4th, 1775. 1. Samuel Ha",Philadelphia,Philadelphia,dl2,/TaggedPDF-doc/div/doc[20]/dl2/plc
