DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V02_0009,Boston Gazette,"BOSTON GAZETTE , MONDAY, SEPTEMBER 4, 1775 Wat",Boston Gazette,BOSTON GAZETTE,title,/TaggedPDF-doc/div/doc[9]/title/pub
NDAR_V02_0017,Newport Mercury,"NEWPORT MERCURY , MONDAY, SEPTEMBER 4, 1775 New",Newport Mercury,NEWPORT MERCURY,title,/TaggedPDF-doc/div/doc[17]/title/pub
NDAR_V02_0024,Virginia Gazette,"ARY TO ALEXANDER PURDIE, PRINTER OF THE VIRGINIA GAZETTE Mr. Purdie, You will",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/div/doc[24]/title/pub
NDAR_V02_0024,Virginia Gazette,"1. Purdie's VIRGINIA GAZETTE , Supplement, September 8, 1775. Cary wa",Virginia Gazette,Virginia Gazette,src,/TaggedPDF-doc/div/doc[24]/src/pub
NDAR_V02_0047,Connecticut Journal,"CONNECTICUT JOURNAL , WEDNESDAY, SEPTEMBER 6, 1775",Connecticut Journal,CONNECTICUT JOURNAL,title,/TaggedPDF-doc/div/doc[47]/title/pub
NDAR_V02_0059,New England Chronicle,"NEW ENGLAND CHRONICLE , THURSDAY, AUGUST 31 TO THURSDAY, SEPTE",New England Chronicle,NEW ENGLAND CHRONICLE,title,/TaggedPDF-doc/div/doc[59]/title/pub
NDAR_V02_0065,New York Journal,"NEW YORK JOURNAL , THURSDAY, SEPTEMBER 7, 1775 N",New York Journal,NEW YORK JOURNAL,title,/TaggedPDF-doc/div/doc[65]/title/pub
NDAR_V02_0067,Virginia Gazette,"PINKNEY'S VIRGINIA GAZETTE , THURSDAY, SEPTEMBER 7, 1775 W",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/div/doc[67]/title/pub
NDAR_V02_0072,Essex Journal,"ESSEX JOURNAL , FRIDAY,SEPTEMBER 8, 1775 Newb",Essex Journal,ESSEX JOURNAL,title,/TaggedPDF-doc/div/doc[72]/title/pub
NDAR_V02_0081,Connecticut Gazette,"CONNECTICUT GAZETTE , FRIDAY, SEPTEMBER 8, 1775 New",Connecticut Gazette,CONNECTICUT GAZETTE,title,/TaggedPDF-doc/div/doc[81]/title/pub
NDAR_V02_0092,Virginia Gazette,"PURDIE'S VIRGINIA GAZETTE , FRIDAY, SEPTEMBER 8, 1775 Wil",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/div/doc[92]/title/pub
NDAR_V02_0092,Virginia Gazette,"irst three paragraphs are from Purdie's VIRGINIA GAZETTE , Supplement, of this date.",Virginia Gazette,Virginia Gazette,note,/TaggedPDF-doc/div/doc[92]/note/pub
NDAR_V02_0093,South Carolina and American General Gazette,"SOUTH-CAROLINA AND AMERICAN GENERAL GAZETTE , FRIDAY, SEPTEMBER 1 TO FRIDAY, SEPTEMB",South Carolina and American General Gazette,SOUTH-CAROLINA AND AMERICAN GENERAL GAZETTE,title,/TaggedPDF-doc/div/doc[93]/title/pub
NDAR_V02_0097,New York Gazette,"ed, might serve to inflame. 1. NEW YORK GAZETTE , September 18, 1775. Mr. Hugh Gaine, th",New York Gazette,New York Gazette,src,/TaggedPDF-doc/div/doc[97]/src/pub
NDAR_V02_0097,New York Journal,"or supplying British ships. 2. NEW YORK JOURNAL , September 7, 1775.",New York Journal,New York Journal,note,/TaggedPDF-doc/div/doc[97]/note/pub
NDAR_V02_0101,Pennsylvania Journal,"before the writing of the above letter. PENNSYLVANIA JOURNAL , September 6, 1775. 3. A copy",Pennsylvania Journal,Pennsylvania Journal,note,/TaggedPDF-doc/div/doc[101]/note[1]/pub
NDAR_V02_0103,Pennsylvania Journal,"arles Biddle Autobiography. 2. PENNSYLVANIA JOURNAL , September 13, 1775: ""Saturday last [Se",Pennsylvania Journal,Pennsylvania Journal,note,/TaggedPDF-doc/div/doc[103]/note/pub
NDAR_V02_0105,Virginia Gazette,"DIXON AND HUNTER'S VIRGINIA GAZETTE , SATURDAY, SEPTEMBER 9, 1775 W",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/div/doc[105]/title/pub
NDAR_V02_0106,Virginia Gazette,"Matthew Squire. 1. Holt's VIRGINIA GAZETTE , September 13, 1775.",Virginia Gazette,Virginia Gazette,src,/TaggedPDF-doc/div/doc[106]/src/pub
NDAR_V02_0117,Pennsylvania Journal,"he Custom House entry as printed in the PENNSYLVANIA JOURNAL , September 13, 1775.",Pennsylvania Journal,Pennsylvania Journal,note,/TaggedPDF-doc/div/doc[117]/note/pub
NDAR_V02_0119,Virginia Gazette,"lead. 1. Printed in Pinkney's VIRGINIA GAZETTE , September 14, 1775; in Purdie's",Virginia Gazette,Virginia Gazette,src,/TaggedPDF-doc/div/doc[119]/src/pub[1]
NDAR_V02_0119,Virginia Gazette,"lead. 1. Printed in Pinkney's VIRGINIA GAZETTE , September 14, 1775; in Purdie's",Virginia Gazette,Virginia Gazette,src,/TaggedPDF-doc/div/doc[119]/src/pub[2]
NDAR_V02_0119,Virginia Gazette,"lead. 1. Printed in Pinkney's VIRGINIA GAZETTE , September 14, 1775; in Purdie's",Virginia Gazette,Virginia Gazette,src,/TaggedPDF-doc/div/doc[119]/src/pub[3]
NDAR_V02_0120,Virginia Gazette,"drove the Mercury ashore, see Pinkney's VIRGINIA GAZETTE , September 7, 1775, and the master's lo",Virginia Gazette,Virginia Gazette,note,/TaggedPDF-doc/div/doc[120]/note[3]/pub
NDAR_V02_0122,Boston Gazette,"BOSTON GAZETTE , MONDAY, SEPTEMBER 11, 1775 Wa",Boston Gazette,BOSTON GAZETTE,title,/TaggedPDF-doc/div/doc[122]/title/pub
NDAR_V02_0125,Newport Mercury,"NEWPORT MERCURY , MONDAY, SEPTEMBER 11, 1775 Ne",Newport Mercury,NEWPORT MERCURY,title,/TaggedPDF-doc/div/doc[125]/title/pub
NDAR_V02_0141,Constitutional Gazette,"CONSTITUTIONAL GAZETTE , WEDNESDAY, SEPTEMBER 13, 1775",Constitutional Gazette,CONSTITUTIONAL GAZETTE,title,/TaggedPDF-doc/div/doc[141]/title/pub
NDAR_V02_0142,Connecticut Courant,"ated September 14, 1775, printed in the CONNECTICUT COURANT , Hartford, September 25, further losses",Connecticut Courant,Connecticut Courant,note,/TaggedPDF-doc/div/doc[142]/note/pub
NDAR_V02_0148,New England Chronicle,"NEW ENGLAND CHRONICLE , THURSDAY, SEPTEMBER 7 TO THURSDAY, SEP",New England Chronicle,NEW ENGLAND CHRONICLE,title,/TaggedPDF-doc/div/doc[148]/title/pub
NDAR_V02_0155,New York Journal,"ll in the glorious attempt. 1. NEW YORK JOURNAL , September 28, 1775.",New York Journal,New York Journal,src,/TaggedPDF-doc/div/doc[155]/src/pub
NDAR_V02_0156,New York Journal,"NEW YORK JOURNAL , THURSDAY, SEPTEMBER 21, 1775",New York Journal,NEW YORK JOURNAL,title,/TaggedPDF-doc/div/doc[156]/title/pub
NDAR_V02_0156,New York Journal,"ably the same vessel. However, both the NEW YORK JOURNAL and the Committee of Safety designated",New York Journal,New York Journal,note,/TaggedPDF-doc/div/doc[156]/note/pub
NDAR_V02_0163,Virginia Gazette,"PINKNEY'S VIRGINIA GAZETTE , THURSDAY, SEPTEMBER 14, 1775",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/div/doc[163]/title/pub
NDAR_V02_0163,Norfolk Intelligencer,"Mr. [John Hunter] Holt, printer of the NORFOLK INTELLIGENCER .1 As it is one of those great productio",Norfolk Intelligencer,Norfolk Intelligencer,p,/TaggedPDF-doc/div/doc[163]/docBody/p[1]/pub
NDAR_V02_0163,Virginia Gazette,"1. Holt's paper was the VIRGINIA GAZETTE , with a sub-title of Norfolk Intelligen",Virginia Gazette,Virginia Gazette,note,/TaggedPDF-doc/div/doc[163]/note/pub[1]
NDAR_V02_0163,Norfolk Intelligencer,"Mr. [John Hunter] Holt, printer of the NORFOLK INTELLIGENCER .1 As it is one of those great productio",Norfolk Intelligencer,Norfolk Intelligencer,note,/TaggedPDF-doc/div/doc[163]/note/pub[2]
NDAR_V02_0182,Virginia Gazette,"PURDIE'S VIRGINIA GAZETTE , FRIDAY, SEPTEMBER 15, 1775 Wi",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/div/doc[182]/title/pub
NDAR_V02_0182,Norfolk Gazette,"f lord Dunmore's, to the printer of the NORFOLK GAZETTE .[Here is inserted Captain Squire's lett",Norfolk Gazette,Norfolk gazette,p,/TaggedPDF-doc/div/doc[182]/docBody/p[1]/pub
NDAR_V02_0183,Virginia Gazette,"PURDIE'S VIRGINIA GAZETTE , SUPPLEMENT, FRIDAY, SEPTEMBER 15, 1775",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/div/doc[183]/title/pub
NDAR_V02_0184,Maryland Gazette,"on of this unhappy country. 1. MARYLAND GAZETTE , Annapolis, October 5, 1775.",Maryland Gazette,Maryland Gazette,src,/TaggedPDF-doc/div/doc[184]/src/pub
NDAR_V02_0188,Pennsylvania Evening Post,"which are now in the road. 1. PENNSYLVANIA EVENING POST , October 5, 1775. 2. H.M. Sloo",Pennsylvania Evening Post,Pennsylvania Evening Post,src,/TaggedPDF-doc/div/doc[188]/src/pub
NDAR_V02_0193,New York Gazette,"and the Fort at all Events. 1. NEW YORK GAZETTE , October 9, 1775.",New York Gazette,New York Gazette,src,/TaggedPDF-doc/div/doc[193]/src/pub
NDAR_V02_0198,Virginia Gazette,"DIXON AND HUNTER'S VIRGINIA GAZETTE , SATURDAY, SEPTEMBER 16, 1775",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/div/doc[198]/title/pub
NDAR_V02_0199,Virginia Gazette,"1. Purdie's VIRGINIA GAZETTE , September 22, 1775.",Virginia Gazette,Virginia Gazette,src,/TaggedPDF-doc/div/doc[199]/src/pub
NDAR_V02_0200,Virginia Gazette,". Curle, chairman. 1. Purdie's VIRGINIA GAZETTE , September 22, 1775.",Virginia Gazette,Virginia Gazette,src,/TaggedPDF-doc/div/doc[200]/src/pub
NDAR_V02_0220,Boston Gazette,"ldren escaped without hurt. 1. BOSTON GAZETTE , Watertown, September 25, 1775.",Boston Gazette,Boston Gazette,src,/TaggedPDF-doc/div/doc[220]/src/pub
NDAR_V02_0222,Newport Mercury,"NEWPORT MERCURY , MONDAY, SEPTEMBER 18, 1775 Ne",Newport Mercury,NEWPORT MERCURY,title,/TaggedPDF-doc/div/doc[222]/title/pub
NDAR_V02_0222,New York Journal,"1. A note by the editor of the NEW YORK JOURNAL , in reprinting this paragraph, identifi",New York Journal,New York Journal,src,/TaggedPDF-doc/div/doc[222]/src/pub
NDAR_V02_0265,Virginia Gazette,"HOLT'S VIRGINIA GAZETTE , WEDNESDAY, SEPTEMBER 20, 1775",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/div/doc[265]/title/pub
NDAR_V02_0270,New England Chronicle,"NEW ENGLAND CHRONICLE , THURSDAY, SEPTEMBER 14 TO THURSDAY, SE",New England Chronicle,NEW ENGLAND CHRONICLE,title,/TaggedPDF-doc/div/doc[270]/title/pub
NDAR_V02_0275,New York Journal,"NEW YORK JOURNAL , THURSDAY, SEPTEMBER 21, 1775",New York Journal,NEW YORK JOURNAL,title,/TaggedPDF-doc/div/doc[275]/title/pub
NDAR_V02_0278,Maryland Gazette,"MARYLAND GAZETTE , THURSDAY,SEPTEMBER 28, 1775 A",Maryland Gazette,MARYLAND GAZETTE,title,/TaggedPDF-doc/div/doc[278]/title/pub
