DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V02_0001,"Colburn, Reuben","ORDERS OF GEORGE WASHINGTON TO REUBEN COLBURN Head Quarters at Cambridge, Se",Reuben Colburn,REUBEN COLBURN,title,/TaggedPDF-doc/div/doc[1]/title/rec
NDAR_V02_0002,"Miller, Colonel William Turner (Lieutenant)",SIMEON POTTER TO LIEUTENANT COLONEL WILLIAM TURNER MILLER [Extract] Bristol Sep,Lieutenant Colonel William Turner Miller,LIEUTENANT COLONEL WILLIAM TURNER MILLER,title,/TaggedPDF-doc/div/doc[2]/title/rec
NDAR_V02_0003,"Griswold, Matthew",JONATHAN TRUMBULL TO MATTHEW GRISWOLD Sir Lebanon 3d Septr,Matthew Griswold,MATTHEW GRISWOLD,title,/TaggedPDF-doc/div/doc[3]/title/rec
NDAR_V02_0005,"Squire, Matthew (Captain)","JOURNAL OF H.M. SLOOP OTTER, CAPTAIN MATTHEW SQUIRE Septemr 1775 Sunday 3 Elizabet",Captain Matthew Squire,CAPTAIN MATTHEW SQUIRE,title,/TaggedPDF-doc/div/doc[5]/title/rec
NDAR_V02_0007,"Winniett, Joseph",RICHARD BULKELEY TO JOSEPH WINNIETT AND THOMAS WILLIAMS [Extract],Joseph Winniett,JOSEPH WINNIETT,title,/TaggedPDF-doc/div/doc[7]/title/rec[1]
NDAR_V02_0007,"Williams, Thomas",RICHARD BULKELEY TO JOSEPH WINNIETT AND THOMAS WILLIAMS [Extract] Secys Offic,Thomas Williams,THOMAS WILLIAMS,title,/TaggedPDF-doc/div/doc[7]/title/rec[2]
NDAR_V02_0008,"Gage, Thomas (General)",FRANCIS LEGGE TO GENERAL THOMAS GAGE Sir. Nova Scotia Hali,General Thomas Gage,GENERAL THOMAS GAGE,title,/TaggedPDF-doc/div/doc[8]/title/rec
NDAR_V02_0011,"Graves, Vice Admiral Samuel",GENERAL THOMAS GAGE TO VICE ADMIRAL SAMUEL GRAVES (Copy) Boston Septemb,Vice Admiral Samuel Graves,VICE ADMIRAL SAMUEL GRAVES,title,/TaggedPDF-doc/div/doc[11]/title/rec
NDAR_V02_0012,"Legge, Francis","VICE ADMIRAL SAMUEL GRAVES TO FRANCIS LEGGE Sir, Preston",Francis Legge,FRANCIS LEGGE,title,/TaggedPDF-doc/div/doc[12]/title/rec
NDAR_V02_0013,"Duff, Rear Admiral Robert",VICE ADMIRAL SAMUEL GRAVES TO REAR ADMIRAL ROBERT DUFF Sir Preston,Rear Admiral Robert Duff,REAR ADMIRAL ROBERT DUFF,title,/TaggedPDF-doc/div/doc[13]/title/rec
NDAR_V02_0014,"Cras, Edward Le (Captain)","VICE ADMIRAL SAMUEL GRAVES TO CAPTAIN EDWARD LE CRAS , H.M.S. SOMERSET, HALIFAX Sir",Captain Edward Le Cras,CAPTAIN EDWARD LE CRAS,title,/TaggedPDF-doc/div/doc[14]/title/rec
NDAR_V02_0015,"Hunter, William (Lieutenant)","VICE ADMIRAL SAMUEL GRAVES TO LIEUTENANT WILLIAM HUNTER , H.M. BRIG GASPEE Whereas it a",Lieutenant William Hunter,LIEUTENANT WILLIAM HUNTER,title,/TaggedPDF-doc/div/doc[15]/title/rec
NDAR_V02_0019,"Webb, Samuel Blachley","MORGAN LEWIS TO MAJOR SAMUEL BLACHLEY WEBB [Extract] New York, 4",Samuel Blachley Webb,SAMUEL BLACHLEY WEBB,title,/TaggedPDF-doc/div/doc[19]/title/rec
NDAR_V02_0020,"Safety, Pennsylvania Committee of","JOSEPH BELTON TO THE PENNSYLVANIA COMMITTEE OF SAFETY Gentlemen, Not long since hav",Pennsylvania Committee of Safety,PENNSYLVANIA COMMITTEE OF SAFETY,title,/TaggedPDF-doc/div/doc[20]/title/rec
NDAR_V02_0024,"Purdie, Alexander","WILSON MILES CARY TO ALEXANDER PURDIE , PRINTER OF THE VIRGINIA GAZETTE",Alexander Purdie,ALEXANDER PURDIE,title,/TaggedPDF-doc/div/doc[24]/title/rec
NDAR_V02_0029,"Graves, Vice Admiral Samuel","CAPTAIN JOHN COLLINS, R.N., TO VICE ADMIRAL SAMUEL GRAVES Copy Nautilus in Nant",Vice Admiral Samuel Graves,VICE ADMIRAL SAMUEL GRAVES,title,/TaggedPDF-doc/div/doc[29]/title/rec
NDAR_V02_0031,"Wallace, James, R.N. (Captain)","JOSEPH WANTON TO CAPTAIN JAMES WALLACE, R.N. (Copy) Newport Septem","Captain James Wallace, r.n.","CAPTAIN JAMES WALLACE, R.N.",title,/TaggedPDF-doc/div/doc[31]/title/rec
NDAR_V02_0032,"Washington, George",JONATHAN TRUMBULL TO GEORGE WASHINGTON [Extract] Lebanon 5th,George Washington,GEORGE WASHINGTON,title,/TaggedPDF-doc/div/doc[32]/title/rec
NDAR_V02_0033,Dartmouth (Lord),"WILLIAM TRYON TO LORD DARTMOUTH My Lord, New York 5th",Lord Dartmouth,LORD DARTMOUTH,title,/TaggedPDF-doc/div/doc[33]/title/rec
NDAR_V02_0035,"Cooper, Sir Grey",GILBERT BARKLY TO SIR GREY COOPER [Extract] [Philadelph,Sir Grey Cooper,SIR GREY COOPER,title,/TaggedPDF-doc/div/doc[35]/title/rec
