DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V02_0004,Mercury,MASTER'S LOG OF H.M.S. MERCURY Sepr 1775 Sunday 3d Remarks On,Mercury,MERCURY,title,/TaggedPDF-doc/div/doc[4]/title/ship
NDAR_V02_0004,Mercury (Ship),Sunday 3d Remarks On Bd His Majt. Ship MERCURY [off Norfolk] A,Mercury,Mercury,dl,/TaggedPDF-doc/div/doc[4]/dl/ship
NDAR_V02_0004,Otter (Sloop),"Down and anchored here His Majts Sloop OTTER 1. PRO, Ad",Otter,Otter,p2,/TaggedPDF-doc/div/doc[4]/docBody/p2[3]/ship
NDAR_V02_0005,Otter (Sloop),"JOURNAL OF H.M. SLOOP OTTER , CAPTAIN MATTHEW SQUIRE Septem",Otter,OTTER,title,/TaggedPDF-doc/div/doc[5]/title/ship
NDAR_V02_0005,Mercury,"d, at 4 Weighed & run down close to the MERCURY as did the William in order to protect",Mercury,Mercury,p2,/TaggedPDF-doc/div/doc[5]/docBody/p2[2]/ship[1]
NDAR_V02_0005,William,un down close to the Mercury as did the WILLIAM in order to protect and assist her. The,William,William,p2,/TaggedPDF-doc/div/doc[5]/docBody/p2[2]/ship[2]
NDAR_V02_0005,William,un down close to the Mercury as did the WILLIAM in order to protect and assist her. The,William,William,p2,/TaggedPDF-doc/div/doc[5]/docBody/p2[2]/ship[3]
NDAR_V02_0006,Tartar (Ship),that he wou'd Order His Majesty's Ship TARTAR to proceed as soon as may be to Annapol,Tartar,Tartar,p,/TaggedPDF-doc/div/doc[6]/docBody/p[2]/ship
NDAR_V02_0007,Tartar (Ship),"his Harbour, that His Majestys Ship the TARTAR may be directed to proceed as soon as m",Tartar,Tartar,p,/TaggedPDF-doc/div/doc[7]/docBody/p[1]/ship
NDAR_V02_0009,Rose,"last Wednesday morning [August 30] the ROSE Man of War, with three Tenders, was obs",Rose,Rose,p,/TaggedPDF-doc/div/doc[9]/docBody/p/ship[1]
NDAR_V02_0009,Rose,"last Wednesday morning [August 30] the ROSE Man of War, with three Tenders, was obs",Rose,Rose,p,/TaggedPDF-doc/div/doc[9]/docBody/p/ship[2]
NDAR_V02_0010,Symmetry (Transport),"ere immediately employed in fitting the SYMMETRY Transport and Spitfire Sloop, under the",Symmetry,Symmetry,p,/TaggedPDF-doc/div/doc[10]/docBody/p[2]/ship[1]
NDAR_V02_0010,Spitfire (Sloop),"d in fitting the Symmetry Transport and SPITFIRE Sloop, under the Direction of Lieut. [H",Spitfire,Spitfire,p,/TaggedPDF-doc/div/doc[10]/docBody/p[2]/ship[2]
NDAR_V02_0010,Canceaux,"f Lieut. [Henry] Mowat Commander of the CANCEAUX , whom the Admiral designed for the Comm",Canceaux,Canceaux,p,/TaggedPDF-doc/div/doc[10]/docBody/p[2]/ship[3]
NDAR_V02_0011,Symmetry,will be required for such a serviceThe SYMMETRY and Spitfire you may fit up as you plea,Symmetry,Symmetry,p,/TaggedPDF-doc/div/doc[11]/docBody/p[2]/ship[1]
NDAR_V02_0011,Spitfire,"ired for such a serviceThe Symmetry and SPITFIRE you may fit up as you please, but as th",Spitfire,Spitfire,p,/TaggedPDF-doc/div/doc[11]/docBody/p[2]/ship[2]
NDAR_V02_0012,Preston,"TO FRANCIS LEGGE Sir, PRESTON Boston 4 Sepr 1775",Preston,Preston,dl,/TaggedPDF-doc/div/doc[12]/dl/ship
