DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V03_0001,Island of St John Charlotte Town,"TO LORD DARTMOUTH My Lord, ISLAND OF ST JOHN CHARLOTTE TOWN 8th Decr 1775 I am sorry to infor",Island of St John Charlotte Town,Island of St John Charlotte Town,dl,/TaggedPDF-doc/doc[1]/dl/plc
NDAR_V03_0002,Halifax,VA SCOTIA At a Council aHolden at HALIFAX on the 8th December 1775 The Gove,Halifax,Halifax,dl,/TaggedPDF-doc/doc[2]/dl/plc
NDAR_V03_0004,Yarmouth,ARMOUTH TO GOVERNOR FRANCIS LEGGE YARMOUTH December 8th 1775. May it Please,Yarmouth,Yarmouth,dl,/TaggedPDF-doc/doc[4]/dl/plc
NDAR_V03_0005,Cape Sable,DUDDINGSTON Decemr 1775 Friday 8 CAPE SABLE W17S 13 Leags AM fresh gales & ra,Cape Sable,Cape Sable,dl,/TaggedPDF-doc/doc[5]/dl/plc
NDAR_V03_0006,Newburyport,"TO BENJAMIN GREENLEAF Sir: NEWBURYPORT , December 8, 1775. The needful of",Newburyport,Newburyport,dl,/TaggedPDF-doc/doc[6]/dl/plc
NDAR_V03_0007,Newburyportyport,"MIN GREENLEAF Honoured Sir: NEWBURYPORTYPORT , December 8, 1775. We are engaged",Newburyportyport,Newburyportyport,dl,/TaggedPDF-doc/doc[7]/dl/plc
NDAR_V03_0008,Cambridge,"TO WILLIAM RAMSAY [Extract] CAMBRIDGE , December [8] 1775.2 I am sorry t",Cambridge,Cambridge,dl,/TaggedPDF-doc/doc[8]/dl/plc
NDAR_V03_0009,Cambridge,TO COLONEL JOHN GLOVER Sir CAMBRIDGE 8th Decr 1775 I am Commanded by h,Cambridge,Cambridge,dl,/TaggedPDF-doc/doc[9]/dl/plc
NDAR_V03_0010,Cambridge,[&c.] S. M. ー P.T.S CAMBRIDGE 8th Decr 1775 ー 1. Washington Pap,Cambridge,Cambridge,dl2,/TaggedPDF-doc/doc[10]/dl2/plc
NDAR_V03_0011,Boston,"ALIFAX Sir Preston BOSTON Decr 8, 17752 By the Fowey, who a",Boston,Boston,dl,/TaggedPDF-doc/doc[11]/dl/plc
NDAR_V03_0012,Boston,December [1775] Friday 8 Remarks BOSTON Harbour. Arrived here his Majs Sh,Boston,Boston,dl,/TaggedPDF-doc/doc[12]/dl/plc
NDAR_V03_0013,Boston,on board His Majesty's Ship Preston at BOSTON the 8th of Decembeer 1775.,Boston,Boston,p3,/TaggedPDF-doc/doc[13]/docBody/p3/plc
NDAR_V03_0014,Boston,"WASHINGTON (Copy) Cerberus, BOSTON 8th Decr 1775 Sir, Inclosed is th",Boston,Boston,dl,/TaggedPDF-doc/doc[14]/dl/plc
NDAR_V03_0016,Albany,R TO JOHN HANCOCK [Extract] ALBANY 8 Decr 1775 Sir In the last lett,Albany,Albany,dl,/TaggedPDF-doc/doc[16]/dl/plc
NDAR_V03_0017,Philadelphia,PENNSYLVANIA COMMITTEE OF SAFETY [ PHILADELPHIA ] December 8th Capt. Thomas Procto,Philadelphia,Philadelphia,dl,/TaggedPDF-doc/doc[17]/dl/plc
NDAR_V03_0018,Philada,"GEORGE WASHINGTON [Extract] PHILADA Decr 8th 1775. Sir, Your letter",Philada,Philada,dl,/TaggedPDF-doc/doc[18]/dl/plc
NDAR_V03_0019,Baltimore,"WOOLSEY TO GEORGE SALMON, DUBLIN [ BALTIMORE ] the 8th Decr 1775 I wrote you th",Baltimore,Baltimore,dl,/TaggedPDF-doc/doc[19]/dl/plc
NDAR_V03_0020,Baltimore,"N TO STEPHEN SKINNER, PERTH AMBOY BALTIMORE the 8th December 1775 We lately r",Baltimore,Baltimore,dl,/TaggedPDF-doc/doc[20]/dl/plc
NDAR_V03_0021,Richmond,"URNAL OF THE VIRGINIA CONVENTION [ RICHMOND ] Friday, December 8, 1775. A proc",Richmond,Richmond,dl,/TaggedPDF-doc/doc[21]/dl/plc
