DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V03_0001,Two Friends (Ship),"Family,"" on August 2, 1775, in the ship TWO FRIENDS , Captain Lemmon. Nova-Scotia Gazette: a",Two Friends,Two Friends,note,/TaggedPDF-doc/doc[1]/note[1]/ship
NDAR_V03_0001,Lively (Schooner),"August 22, 1775. 3. The schooner LIVELY , seized at Canso.",Lively,Lively,note,/TaggedPDF-doc/doc[1]/note[2]/ship
NDAR_V03_0002,Roebuck (Ship),om Captain Hamond of His Majesty's Ship ROEBUCK ー Resolved that 3000 Acres of land be g,Roebuck,Roebuck,p,/TaggedPDF-doc/doc[2]/docBody/p[2]/ship
NDAR_V03_0003,Property (Schooner),"Capt. John Cobb, in the schooner PROPERTY , arrives from Cape Nichola Mole, with s",Property,Property,p,/TaggedPDF-doc/doc[3]/docBody/p/ship
NDAR_V03_0003,Hancock (Schooner),Selman in Washington's armed schooners HANCOCK and Franklin.3. Margaret's Bay is the f,Hancock,Hancock,p,/TaggedPDF-doc/doc[3]/postscript/p[1]/ship[1]
NDAR_V03_0003,Franklin,ashington's armed schooners Hancock and FRANKLIN .3. Margaret's Bay is the first large in,Franklin,Franklin,p,/TaggedPDF-doc/doc[3]/postscript/p[1]/ship[2]
NDAR_V03_0005,Senegal (Sloop),"JOURNAL OF H.M. SLOOP SENEGAL , CAPTAIN WILLIAM DUDDINGSTON Dece",Senegal,SENEGAL,title,/TaggedPDF-doc/doc[5]/title/ship
NDAR_V03_0006,Washington (Schooner),"n getting a commission for the schooner WASHINGTON ,2 as we have fitted her for a privateer",Washington,Washington,p,/TaggedPDF-doc/doc[6]/docBody/p/ship
NDAR_V03_0007,Game Cock (Sloop),"n, Tracy, & Tracy. P.S. The sloop GAME COCK , burden about twenty tons. 1. For",Game Cock,Game Cock,p2,/TaggedPDF-doc/doc[7]/postscript/p2/ship
NDAR_V03_0008,Nancy (Brig),"s below Mount Vernon. 5. The brig NANCY , sent into Gloucester on November 29, 1",Nancy,Nancy,note,/TaggedPDF-doc/doc[8]/note[4]/ship
NDAR_V03_0008,Concord (Ship),"ript being mutilated. 6. The ship CONCORD , James Lowrie, master, owned by Crawfor",Concord,Concord,note,/TaggedPDF-doc/doc[8]/note[5]/ship
NDAR_V03_0009,Kingston Packett (Brig),"unr in the proper road, to get his Brig KINGSTON PACKETT & her Cargo into his possession,2 Wheth",Kingston Packett,Kingston packett,p,/TaggedPDF-doc/doc[9]/docBody/p/ship
NDAR_V03_0009,Kingston Packet (Brig),"'s secretary pro tem. 2. The brig KINGSTON PACKET had been carried into Winter Harbor, so",Kingston Packet,Kingston Packet,note,/TaggedPDF-doc/doc[9]/note[1]/ship
