DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V05_0009,New England Chronicle,"NEW-ENGLAND CHRONICLE , THURSDAY, MAY 9, 1776 Boston, Ma",New England Chronicle,NEW-ENGLAND CHRONICLE,title,/TaggedPDF-doc/doc[9]/title/pub
NDAR_V05_0045,Connecticut Gazette,"CONNECTICUT GAZETTE , FRIDAY, MAY 10, 1776 New London,",Connecticut Gazette,CONNECTICUT GAZETTE,title,/TaggedPDF-doc/doc[45]/title/pub
NDAR_V05_0060,Virginia Gazette,"PURDIE'S VIRGINIA GAZETTE , FRIDAY, MAY 10, 1776 Williamsbur",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[60]/title/pub
NDAR_V05_0081,Pennsylvania Evening Post,"PENNSYLVANIA EVENING POST , SATURDAY, MAY 11, 1776 Philadelp",Pennsylvania Evening Post,PENNSYLVANIA EVENING POST,title,/TaggedPDF-doc/doc[81]/title/pub
NDAR_V05_0088,Virginia Gazette,"DIXON AND HUNTER'S VIRGINIA GAZETTE , SATURDAY, MAY 11, 1776 [Williams",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[88]/title/pub
NDAR_V05_0118,Newport Mercury,"NEWPORT MERCURY , MONDAY, MAY 13, 1776 Newport, Ma",Newport Mercury,NEWPORT MERCURY,title,/TaggedPDF-doc/doc[118]/title/pub
NDAR_V05_0138,American Gazette,"AMERICAN GAZETTE , TUESDAY, JUNE 25, 1776 Halifax,",American Gazette,AMERICAN GAZETTE,title,/TaggedPDF-doc/doc[138]/title/pub
NDAR_V05_0172,Pennsylvania Journal,"PENNSYLVANIA JOURNAL , WEDNESDAY, MAY 15, 1776. Philade",Pennsylvania Journal,PENNSYLVANIA JOURNAL,title,/TaggedPDF-doc/doc[172]/title/pub
NDAR_V05_0201,Pennsylvania Evening Post,"PENNSYLVANIA EVENING POST , THURSDAY, MAY 16, 1776 Philadelp",Pennsylvania Evening Post,PENNSYLVANIA EVENING POST,title,/TaggedPDF-doc/doc[201]/title/pub
NDAR_V05_0234,Pennsylvania Evening Post,"PENNSYLVANIA EVENING POST , SATURDAY, MAY 18, 1776 [Philadel",Pennsylvania Evening Post,PENNSYLVANIA EVENING POST,title,/TaggedPDF-doc/doc[234]/title/pub
NDAR_V05_0259,Boston Gazette,"BOSTON GAZETTE , MONDAY, MAY 20, 1776 [Advertisem",Boston Gazette,BOSTON GAZETTE,title,/TaggedPDF-doc/doc[259]/title/pub
NDAR_V05_0266,Newport Mercury,"NEWPORT MERCURY , MONDAY, MAY 20, 1776 Newport, Ma",Newport Mercury,NEWPORT MERCURY,title,/TaggedPDF-doc/doc[266]/title/pub
NDAR_V05_0267,Connecticut Courant,"CONNECTICUT COURANT , MONDAY, MAY 20, 1776 Hartford, M",Connecticut Courant,CONNECTICUT COURANT,title,/TaggedPDF-doc/doc[267]/title/pub
NDAR_V05_0320,Connecticut Journal,"CONNECTICUT JOURNAL , WEDNESDAY, MAY 22, 1776 New-Have",Connecticut Journal,CONNECTICUT JOURNAL,title,/TaggedPDF-doc/doc[320]/title/pub
